,phonetics_id,names,phonetics
413,12867,aadhira,Ah-dhee-rah
414,24637,ujor,Oo-johr
415,11488,nicholas,Nick-uh-lus
416,3367,quayes, K-EYE-ehs
417,16461,feruz ,feh-rooz
418,5873,imran,ihm-RAHN
419,14413,birhanu,beer-hah-noo
420,11652,angela,AN-juh-luh
421,1199,chidambaram, chih-DAHM-bah-RAHM
422,7605,baisultanov,b-eye-sool-TAH-nawff
423,8878,karboschi,k-air-baws-CHEE
424,5161,aniano,ahn-yee-AH-noh
425,24722,usaid,oo-SA-eed
426,20676,munkhtuya,moonkh-too-yah
427,930,belkhadem, behl-KAH-dehm
428,24260,teneisha,teh-NEE-shuh
429,13259,airi,ah-ee-ree
430,24577,tzuri,TSOO-ree
431,4765,virgilio,veer-HEEL-yoh
432,10104,rajavi,rah-jah-VEE
433,12062,abraham,AY-bruh-ham
434,9892,palme,PAL-meh
435,18825,kanika,Kuh-nee-kah
436,22540,ravinder,Rah-vin-der
437,1212,chitengi, chih-TEHN-ghih
438,19856,made,MAH-deh
439,22485,rantanen,RAN-tah-nen
440,3696,schroeder, SHREHR-dehr
441,2726,mehralizadeh, MAY-hehr-ah-lee-zah-DEH
442,17908,iming,Ee-Ming
443,3450,reinado, ray-NAH-doh
444,21699,orvokki,OR-vok-kee
445,512,zeguinchor,ZEE-geh(n)-SHAWR
446,18087,isidoros,ee-see-DOH-ros
447,8370,gambar,GAHM-bahr
448,17816,iheanacho,Ee-heh-ahn-ah-choh
449,7827,brash,BR-ASH
450,12255,rose,Rose
451,25082,vuyani,voo-yah-nee
452,13735,aoibhe,EE-vee
453,24639,ujunwa,Oo-joo-nwah
454,12419,joung-binn,EE-JAWNG-BIHN
455,25558,yedidya,yeh-dee-DYAH
456,3410,rakhimov, rah-KEE-mawf
457,16744,gamba,GAHM-bah
458,21918,parkkinen,PARK-kee-nen
459,7478,antall,AWN-tawl
460,10107,rajoelina,rah-joh-ee-LEEN-ah
461,16930,gianluca,jahn-loo-kah
462,3485,rodriguez, rohd-REE-ghess
463,12384,chaisang,CH-EYE-SANG
464,22067,phattharapon,paht-ta-rah-POHN
465,22222,qasim,Kah-seem
466,5918,sushil,soo-SHIHL
467,9736,ngendakumana,(n)ghehn-dah-koo-MAHN-ah
468,9903,pangalos,PAHN-gah-lohs
469,12731,lai,L-EYE
470,18846,karambir,Kah-rahm-beer
471,24037,taina,tah-ee-NAH
472,6431,sauli,SAW-oo-lee
473,25007,viola,vyoh-lah
474,16228,fabio,fah-byoh
475,9668,mzali,m-ZAH-lee
476,22063,phanthipa,pan-thee-pah
477,12172,oluyemi,Oh-loo-yem-ee
478,4303,yakovenko, yah-koh-VEHN-koh
479,12018,mikayla,mi-kay-luh
480,22876,rustam ,roos-tahm
481,12265,prasad,Pra-sad
482,13368,aleksei,Ah-LEK-say
483,4563,raul,rah-OOL
484,22287,quentin,keh-tahn
485,21729,osmaan,OHS-mahn
486,15802,elamin,el-AH-min
487,12497,izz el-deen,ihz-eh-DEEN
488,11132,avjeet,Av-jeet
489,8969,khomeini,hoh-may-NEE
490,9169,lajolo,l-eye-OH-loh
491,14960,chuluunbat,choo-loon-baht
492,16453,feride,feh-ree-deh
493,21021,nelson,Nehl-sohn
494,9467,mercadante,m-air-kah-DEHN-cheh
495,5916,helmut,HEHL-moot
496,3527,rupel, ROO-pehl
497,8029,cresson,KREH-saw
498,5242,zviad,zvee-AHD
499,12450,kanju,KAHN-JOO
500,1820,hammarskjold, HAH-mahr-shuhld
501,10129,rasmussen,RASS-moo-sehn
502,17488,heikkinen,HEYK-kee-nen
503,19605,letay,leh-tahy
504,12600,jang-soo,JAWNG-SOO
505,6222,khaled,KHAH-lehd
506,6303,jaroslava,YAH-roh-slah-vah
507,4387,zhukov, zoo-KAWF
508,6410,melchior,MEHL-kee-ohr
509,19928,maija,MY-yah
510,16801,gayatri,Ga-ya-tri
511,13401,al-fadil,alFAH-deel
512,4841,rana,RAH-nah
513,1846,hashemi, hah-sheh-MEE
514,13653,anil,A-nil
515,15523,dmitriy,DMEET-ree
516,21819,pahor,pah-HOR
517,17471,hector,hek-tohr
518,15467,dilshod ,deel-shohd
519,16982,gita,GEE-tah
520,13663,anjara,ahn-jah-rah
521,22274,quantin,kwahn-teen
522,22048,péter,pay-ter
523,22087,pietro,PEE-eh-tro
524,12629,mashabane,mah-shah-BAH-nee
525,4098,toure, TOO-ray
526,21464,oiva,OY-vah
527,10391,seaga,see-AH-gah
528,4787,djibril,jih-BREEL
529,13434,aliyah,A-li-yah
530,22042,perola,PEH-roh-lah
531,19444,latifah,lah-tee-fah
532,8946,khalili,kah-LEE-lee
533,17390,haroon,Hah-roon
534,16090,eskedar,ehs-keh-dahr
535,19081,khishigtamir,khee-sheeg-tah-meer
536,25200,waweru,wah-WEH-roo
537,18568,joowon,Joo-won
538,25306,xabibullo ,khah-bee-bool-loh
539,21355,nwamaka,Nwah-mah-kah
540,25762,yuvika,Yoo-vee-kah
541,21311,nouf,NOOF
542,22016,pelagia,peh-LAH-jee-ah
543,2888,mousli, MOOS-lee
544,23920,sunyoung,Soon-yoong
545,14849,chibueze,Chee-boo-eh-zeh
546,17609,holger,HOL-ger
547,8821,kadoumi,kah-DOO-mee
548,5285,dervis,dehr-VEESH
549,74,chin,CHIHN
550,2316,kono, KOH-noh
551,5357,mauricio,maw-REE-see-oh
552,12350,imalshi,e-mahl-shee
553,14466,bolorerdene,boh-lohr-ehr-deh-neh
554,22297,quincey,keen-seh
555,12851,abdel,AB-duhl
556,24797,valentin,va-lehn-teen
557,17068,gregoire,Gray-gwahr
558,2029,jayousi, jah-YOO-see
559,11990,cara,ka-ra
560,2866,mordechai, MOHR-dehk-eye
561,11658,renu,RAY-noo
562,22,atambua,ah-tahm-BOO-ah
563,10200,ruak,ROO-ahk
564,10065,qanooni,kah-noo-NEE
565,7698,benaissa,behn-EYE-sah
566,15976,endang,EN-dahng
567,3872,sneir, (suh)NEER
568,8239,ensour,ehn-SOOR
569,5704,ramin,rah-MEEN
570,23358,shahar,SHAH-hahr
571,22035,peni,peh-nee
572,15304,davion,DAY-vee-uhn
573,7815,bouterse,BOW-tehr-seh
574,10642,sutresna,soo-trehs-NAH
575,18828,kanna,kan-nah
576,13899,atid,ah-teed
577,22890,ryszard ,rih-shahrd
578,14885,chinwe,chee-nweh
579,19684,lison,Lee-sohn
580,12339,milagros,mee-LAH-gros
581,23041,saloni,Suh-loh-nee
582,15121,dahabo,dah-HAH-bo
583,11822,harveen,har-veen
584,834,bahaji, bah-HAH-jee
585,23331,séverine,say-vrehen
586,710,antonakopoulos, ahn-toh-nah-KOH-poo-lohss
587,13930,avichai,ah-vee-KHAHY
588,2691,maurtua, mah-OOR-too-ah
589,3005,nazal, nah-ZAHL
590,2508,livnat, leev-NAHT
591,9361,mapombere,mah-pohmb-AIR-ay
592,19076,khemarat,keh-mah-raht
593,12310,balvantbhai,bahl-VANT-bhai
594,13115,adila,ah-DEE-lah
595,14972,chunyan,Choon-Yahn
596,25776,zaara,Zah-ruh
597,1236,cimoszewicz, chee-moh-SHEH-veech
598,5464,noman,noh-MAN
599,22084,pierre,Pyehr
600,8811,kabuga,kah-BOO-gah
601,2509,livni, LIHV-nee
602,15020,claudio,clow-dyoh
603,17124,guillaume,Gee-ohm
604,14792,charlotte,Shar-lot
605,20181,marifat ,mah-ree-vaht
606,15998,enora,eh-noh-rah
607,8067,daukoru,dow-KOH-roo
608,21210,njoki,njo-kee
609,5572,lum,LOOM
610,18540,jolanta,yoh-LAHN-tah
611,13591,anatoliyevna,Ah-nah-TOH-lee-yev-nah
612,20047,maninder,Mahn-in-der
613,7370,agapov,ah-GAH-pawf
614,15468,dilshod ,deel-shawd
615,14214,bayou,bah-yoo
616,15107,dafni,DAHF-nee
617,17629,hriday,Hrih-die
618,9960,pesic,PEH-seech
619,15350,demeke,deh-meh-keh
620,16810,gebre,geh-bre
621,9720,ndayambaje,ehnd-eye-AHMB-eye-zheh
622,14390,bilqis,BIHL-kees
623,25583,yeonhee,Yuhn-hee
624,9853,oshima,OH-shee-mah
625,21193,niuhui,Nyoo-Hway
626,13475,amalina,ah-mah-lee-nah
627,3446,rehman, reh-MAHN
628,14297,berhanu,beh-rha-noo
629,25945,zin,zeen
630,17104,grzegorz ,greh-gohsh
631,6255,zoran,ZOHR-ahn
632,7451,amani,ah-mah-NEE
633,8073,de,deh-BOOR
634,5852,enda,EHN-dah
635,7975,chretien,KRAY-TEE-YAN
636,7910,celeste,seh-LEHST
637,6711,lars lokke,LAHRS-LOOK(eh)
638,5664,hubert,HEW-berht
639,10460,shastri,SHAHS-tree
640,8816,kadet,kah-DAY
641,14400,bingyu,Bing-Yoo
642,16329,fares,FAH-res
643,16623,fountas,FOON-tahs
644,19459,laurent,Loh-rahn
645,13083,ademilola,Ah-deh-mee-loh-lah
646,10368,scharping,SHAHR-peeng
647,18410,jeremaia,jeh-reh-my-ah
648,25086,vwazi,vwah-zee
649,17031,gorawit,gaw-rah-wit
650,4041,temaru, TAY-mah-roo
651,25311,xai,sai
652,17049,graciela,grah-thee-eh-lah
653,20665,munisa ,moo-nee-sah
654,14293,bérénice,Beh-ray-nees
655,916,beandali, behn-DEH-lee
656,11967,sumeet,SOO-meet
657,20634,mukhtar,mookh-TAHR
658,7938,chavez,CHAH-vehs
659,12283,mukesh,moo-kesh
660,5333,moinina,MOY-nee-nah
661,20372,mekdes,mehk-dehs
662,9644,murungi,moo-ROON-ghee
663,25195,wasim,WAH-seem
664,2307,komara, KOH-mah-rah
665,22821,ruairí ,roo-uh-ree
666,10843,ushakov,oo-shah-KAWF
667,8433,ghotbzadeh,haht-bzah-DEH
668,17495,heinz,hynz
669,11999,lyndsay,linz-dee
670,6533,behgjet,BEH-jeht
671,21103,nigora ,nee-goh-rah
672,13258,aira,AI-rah
673,18872,karatzas,kah-RAHT-zas
674,212,kecskemet,KEHCH-keh-MAYT
675,19801,?ukasz ,woo-kash
676,9617,mugemana,moo-gay-mahn-YEE
677,6530,hilmi,HEEL-mee
678,9004,kljuyev,KLOO-yehv
679,20706,musukwa ,moo-sook-wah
680,22815,roxana,roh-hah-nah
681,1227,churkin, CHOOR-kihn
682,8491,grachev,grah-CHAWF
683,12271,thomas,toh-muhs
684,25733,yure,YOO-reh
685,10662,tadic,TAH-dihch
686,15488,dingbang,Deeng-Bahng
687,19782,ludwig,lood-vikh
688,24536,turlough ,tur-lokh
689,9261,lukashenko,loo-kah-SHEHN-kaw
690,13389,alexandre,Ah-lek-sahndr
691,7784,bolton,BOHL-tuhn
692,5715,zeljko,ZHAYL-kaw
693,3340,prikhodko, pree-HAWD-kaw
694,17043,gözde,gohz-deh
695,19040,khadija,KHAH-dee-jah
696,7485,aquino,ah-KEE-noh
697,7351,adedeji,ah-DEH-deh-jee
698,8463,godoy,goh-DOY
699,23903,sumei,Soo-May
700,346,pokhran,POHK-rahn
701,22754,romain,Roh-meh
702,337,pec,PEHCH
704,2416,kyprianou, kihp-ree-ah-NOO
705,10898,villar,vee-YAHR
706,276,mayawati,M-EYE-ah-wah-tee
707,18816,kandie,kan-dee-eh
708,26014,zuri,zoo-ree
